,Unnamed: 0,Offsensive,Hate Speech ,Neither,tweet
2281,2326,,,1,"934 8616
i got a missed call from yo bitch"
15914,16283,,,1,RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!
18943,19362,,,1,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!"
16407,16780,1,1,,RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit
13326,13654,1,,,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.
12914,13233,,,1,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch."
21457,21919,,,1,"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;"
12246,12557,1,,,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch."
13083,13404,1,,,My momma keep talking to me like bitch gtf I'm on Twitter.
19409,19839,1,,,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now
24146,24648,,,1,like a bitch pic is flirting nowadays
4273,4399,1,,,@Nien_Nunb what did you search? Gay redneck episode 1 play?
9642,9905,,,1,"Halloween's over, and bitches still playing roles."
23843,24340,1,1,,fucking queer
22855,23334,1,,,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?"
10907,11189,,,1,I stopped snapping on women and calling them bitches.
3778,3886,1,,,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy"
11464,11757,,,1,"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga."
20993,21444,,,1,So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok
4794,4934,,,1,@StunningStina their tortillas are trash though.
18490,18899,1,,,"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;"
23996,24493,1,,,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol
15789,16158,,,1,"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;"
24006,24503,1,,,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB"
2232,2277,1,,,2 or 3 hoes for everything &#128527;&#128520;&#128526;
11500,11793,,,1,"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch."
11783,12082,,,1,Ima start friend zoning these hoes &#128514;&#128514;&#128514;
18637,19049,,,1,RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.
21998,22465,,,1,This bitch pregnant again &#128064;&#128514;&#128514;
18859,19277,,,1,RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!
17986,18390,,,1,RT @VibeLord: your opinion of me is highly irrelevant bitch
14381,14724,1,,,RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead
19902,20343,1,,,RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!
22059,22526,1,,,This hoe taken by the world smh
14614,14964,1,,,RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr
19588,20023,,,1,"RT @lovexlilyy: don't play games with a girl who can play better, bitch."
11311,11601,,,1,I'm just tryna get to sleep before the birds start getting rowdy.
12247,12558,,,1,Kiss imik this bitch just added another 50 seconds to her story I think its a new record.
11815,12115,,,1,Inde jus got me all hype at work!! I knew my bitch Candace ain't die
6814,7005,,,1,@panchoftf red and yellow it should be then
11448,11741,,,1,"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place."
6944,7139,,,1,@ronsonsolaqa I love you too pussy.... Lmaooo
3077,3155,,,1,@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good
7095,7293,,,1,@strawberrycoca ling ling krunkchip
6977,7173,1,1,,@saucygyro she's a dyke &amp; looks like she's 12
18900,19319,,,1,RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive
18131,18536,1,,,"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;"
1113,1137,,,1,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @"
20838,21289,,,1,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews
20905,21356,,,1,Smile at the bitches who hate you.
20658,21106,,,1,See niggas they be mad and all these hoes go &#128584;
6448,6631,1,,,@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy
17581,17980,,,1,RT @Teamadeezy: Niggas is hoes 2
6914,7109,,,1,@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out
5505,5663,1,,,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded
1202,1228,1,,,&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch
10039,10312,,,1,I be chillin wit the bitches cuz a lotta niccas fake
23834,24331,1,,,fuck her rite in the pussy
14656,15006,,,1,RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;
18795,19211,1,,,RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG
17098,17488,1,,,RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;
8608,8845,1,,,"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly"""""
2579,2636,1,,,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash
6415,6598,,,1,@kieffer_jason @someone yea it's very true bitch
23804,24299,,,1,"everybody fuckin everybody bitch everybody wit the shits, thats lifee"
2662,2725,1,,,@BradMich4Real thats shit gon be the death of these hoes...ion like it...
19721,20158,,,1,"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;"
22181,22650,,,1,Thursdays really been trash this season @nfl
19509,19942,,,1,RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo
2388,2437,,,1,@Alan_Casillas haha shit niggah i wish
13195,13520,1,,,Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?
9406,9664,1,1,,Get these hoe ass fuckboys off the stage. #VMAs
6285,6466,,1,,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.
17104,17495,,1,,RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p
7001,7197,1,,,@seansteiger31 yea cause I showed ya bitch ass
20668,21117,,,1,Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.
18153,18558,,,1,"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!"
12184,12494,,,1,"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is"
16183,16553,1,,,RT @LettyBro_: Yall hoes super weakkkkkkkk
24752,25265,1,1,,you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint
18081,18485,,,1,"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke."
23357,23843,1,,,You know what fuck that bitch and you didnt react? girl it's me and you
13430,13761,,,1,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;"
21649,22112,1,,,Them hoes look so clean on foot.
14091,14431,1,,,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair
16651,17034,,,1,"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line."
23950,24447,1,,,"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick"
3470,3562,,1,,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
18049,18453,,,1,"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball."
15769,16137,1,,,RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit
13738,14074,,,1,"Out of day care, I'm taking a kitty nap on you hosers."
24265,24769,1,,,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up
5333,5489,,,1,@_MckenzieNoel miss you bitch
7048,7245,,,1,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.
4388,4518,1,,,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also
19306,19735,1,,,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr
22611,23089,1,,,What mad cunt created masturbating? That dude needs a high 5...
21818,22284,1,,,These hoes worried bout the wrong things in life
9033,9285,,,1,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.
19733,20171,1,,,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.