,Unnamed: 0,tweet,Susana,Pratyusha,Derek,Andy
0,2281,"934 8616
i got a missed call from yo bitch",0,0,0,2
1,15914,RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!,0,0,1,0
2,18943,"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!",1,1,1,1
3,16407,RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,1,2,0,1
4,13326,Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.,1,0,1,1
5,12914,"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch.",0,0,1,0
6,21457,"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;",0,0,1,0
7,12246,"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",1,1,0,1
8,13083,My momma keep talking to me like bitch gtf I'm on Twitter.,1,1,1,1
9,19409,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,1,1,0,1
10,24146,like a bitch pic is flirting nowadays,0,0,1,0
11,4273,@Nien_Nunb what did you search? Gay redneck episode 1 play?,1,0,1,1
12,9642,"Halloween's over, and bitches still playing roles.",0,0,1,0
13,23843,fucking queer,1,1,1,1
14,22855,"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?",1,1,1,1
15,10907,I stopped snapping on women and calling them bitches.,0,0,1,0
16,3778,"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",1,1,0,2
17,11464,"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga.",0,1,1,1
18,20993,So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok,0,0,1,0
19,4794,@StunningStina their tortillas are trash though.,0,0,2,0
20,18490,"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;",1,1,1,1
21,23996,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,1,0,1,1
22,15789,"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;",0,0,1,0
23,24006,"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",0,0,0,0
24,2232,2 or 3 hoes for everything &#128527;&#128520;&#128526;,1,0,1,1
25,11500,"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.",0,0,0,0
26,11783,Ima start friend zoning these hoes &#128514;&#128514;&#128514;,0,1,1,1
27,18637,RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.,0,0,1,0
28,21998,This bitch pregnant again &#128064;&#128514;&#128514;,1,1,1,1
29,18859,RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,0,0,0,0
30,17986,RT @VibeLord: your opinion of me is highly irrelevant bitch,0,1,2,1
31,14381,RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead,1,1,0,1
32,19902,RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,1,1,0,1
33,22059,This hoe taken by the world smh,1,1,1,1
34,14614,RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,1,1,1,1
35,19588,"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",0,1,2,1
36,11311,I'm just tryna get to sleep before the birds start getting rowdy.,0,1,2,0
37,12247,Kiss imik this bitch just added another 50 seconds to her story I think its a new record.,0,0,1,0
38,11815,Inde jus got me all hype at work!! I knew my bitch Candace ain't die,0,0,1,0
39,6814,@panchoftf red and yellow it should be then,0,0,2,0
40,11448,"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",0,0,2,0
41,6944,@ronsonsolaqa I love you too pussy.... Lmaooo,0,0,2,0
42,3077,@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good,0,0,1,0
43,7095,@strawberrycoca ling ling krunkchip,0,0,2,0
44,6977,@saucygyro she's a dyke &amp; looks like she's 12,1,2,0,0
45,18900,RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive,0,0,1,0
46,18131,"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;",1,1,1,1
47,1113,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",0,1,0,0
48,20838,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews,0,0,2,0
49,20905,Smile at the bitches who hate you.,0,0,1,0
50,20658,See niggas they be mad and all these hoes go &#128584;,0,0,1,0
51,6448,@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,1,1,0,1
52,17581,RT @Teamadeezy: Niggas is hoes 2,1,1,1,1
53,6914,@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out,0,0,0,1
54,5505,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,1,2,2,2
55,1202,&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,1,0,0,0
56,10039,I be chillin wit the bitches cuz a lotta niccas fake,0,0,1,0
57,23834,fuck her rite in the pussy,1,1,1,1
58,14656,RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;,0,0,1,0
59,18795,RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,1,1,1,1
60,17098,RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,1,0,1,1
61,8608,"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly""""",1,0,0,0
62,2579,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1,2,0,1
63,6415,@kieffer_jason @someone yea it's very true bitch,0,0,1,0
64,23804,"everybody fuckin everybody bitch everybody wit the shits, thats lifee",0,0,0,0
65,2662,@BradMich4Real thats shit gon be the death of these hoes...ion like it...,1,1,1,1
66,19721,"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",0,0,2,0
67,22181,Thursdays really been trash this season @nfl,0,0,2,0
68,19509,RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,0,0,1,0
69,2388,@Alan_Casillas haha shit niggah i wish,0,0,1,0
70,13195,Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?,1,1,1,0
71,9406,Get these hoe ass fuckboys off the stage. #VMAs,1,1,0,1
72,6285,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,0,0,0,0
73,17104,RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,2,2,0,1
74,7001,@seansteiger31 yea cause I showed ya bitch ass,1,1,1,0
75,20668,Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.,0,0,2,0
76,18153,"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",0,0,2,0
77,12184,"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is",0,0,2,0
78,16183,RT @LettyBro_: Yall hoes super weakkkkkkkk,1,1,1,0
79,24752,you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,1,1,1,1
80,18081,"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke.",0,0,2,0
81,23357,You know what fuck that bitch and you didnt react? girl it's me and you,1,0,0,0
82,13430,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;",0,0,1,0
83,21649,Them hoes look so clean on foot.,1,0,0,0
84,14091,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair,1,0,0,0
85,16651,"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line.",0,0,1,0
86,23950,"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick",1,0,2,0
87,3470,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,1,1,1,1
88,18049,"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball.",0,0,2,0
89,15769,RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit,1,1,0,1
90,13738,"Out of day care, I'm taking a kitty nap on you hosers.",0,0,0,0
91,24265,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,1,1,0,1
92,5333,@_MckenzieNoel miss you bitch,0,0,2,0
93,7048,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,0,0,2,0
94,4388,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also,1,1,1,1
95,19306,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr,1,0,2,0
96,22611,What mad cunt created masturbating? That dude needs a high 5...,1,1,0,1
97,21818,These hoes worried bout the wrong things in life,1,1,1,1
98,9033,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.,0,0,0,0
99,19733,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.,1,1,0,1